name	creator	category	download_link	source_type	file_type	license
BD_TOPO	IGN	topography				
STORM synthetic cyclones	Bloemdall	climate				
filosofi	INSEE	economic				
OSM	OpenStreetMap	land use				
Corine Land Cover		land use				
